position 	 log_vraisemblance
1	-115.796421213
2	-116.970677567
3	-98.7776107558
4	-119.542655376
5	-161.884025493
6	-129.955949304
7	-117.676215824
8	-155.039028092
9	-169.514747355
10	-143.18165511
11	-155.300350357
12	-96.5354882197
13	-119.482963484
14	72.8433160937
15	-139.31137984
16	-130.469260283
17	-152.226190149
18	-163.421923917
19	-147.62988788
20	-145.62432011
21	-142.66217743
22	-149.231718641
23	-125.507628745
24	-117.69801127
25	-153.701498291
26	-132.120241456
27	-106.668795892
28	-161.004311966
29	-146.123462362
30	-136.536092448
31	-145.161384824
32	-139.163079267
33	-125.213802555
34	-126.929541215
35	-155.904451562
36	-134.078066549
37	-130.523411102
38	-148.000779814
39	-130.541720211
40	-130.009710752
41	-165.799960656
42	-120.508717682
43	-132.112480352
44	-146.660207562
45	-86.8038979799
46	-124.352004864
47	-106.03151696
48	-108.148850961
49	-133.960179973
50	-143.812633455
51	-143.497749105
52	-111.403375502
53	-140.429870696
54	-134.066898914
55	-146.167433357
56	-134.006520047
57	-165.150304626
58	-119.657761049
59	-133.016895924
60	-153.60946889
61	-127.272609786
62	-133.96372647
63	-151.263896252
64	-165.806450034
65	-131.467255558
66	-141.563679514
67	-132.699359283
